,MUNICIPIO,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB19,z_score_nota,z_score_IDEB19
53,Deputado Irapuan Pinheiro,108,18,0.16666666666666666,60,0.5555555555555556,20,0.18518518518518517,439.25925925925924,459.0027777777778,478.4259259259259,478.2638888888889,425.6666666666667,456.1237037037037,108,0,0.0004872436895174934,4.2,-1.080553499558473,-0.4870363899067109
54,Ererê,60,3,0.05,45,0.75,3,0.05,502.6666666666667,451.0133333333333,467.3566666666667,472.805,422.85499999999996,463.33933333333334,60,0,0.0002706909386208297,,-0.7996917735550544,
55,Eusébio,1154,479,0.4150779896013865,938,0.8128249566724437,501,0.4341421143847487,579.844020797227,511.498006932409,532.7311958405546,522.416897746967,481.1470537261698,525.5274350086655,468,14,0.005206289052807291,4.55,1.6209227077769652,0.39467738933858976
56,Farias Brito,434,155,0.35714285714285715,276,0.6359447004608295,162,0.37327188940092165,520.8294930875576,479.8976958525346,502.4175115207374,496.8709677419355,454.0873271889401,490.820599078341,183,0,0.0019579977893573347,4.6,0.26999114062989227,0.5206365006593467
57,Forquilha,526,146,0.27756653992395436,351,0.6673003802281369,152,0.2889733840304182,553.4980988593156,490.34505703422053,516.522813688213,508.25798479087456,458.2157794676806,505.3679467680608,195,0,0.00237305722857594,4.3,0.8362332276861628,-0.23511816726519708
58,Fortaleza,71734,34962,0.48738394624585274,57329,0.7991886692502858,36248,0.5053112889285416,615.636100036245,524.081081495525,543.899151030195,533.5427314801907,489.8069743775616,541.3932076839435,18982,5003,0.3236290631837766,4.255555555555552,2.2384832709824765,-0.3470818217725455
59,Fortim,86,6,0.06976744186046512,15,0.1744186046511628,6,0.06976744186046512,423.48837209302326,461.8058139534884,463.98604651162793,481.1813953488372,426.03953488372093,451.30023255813956,86,0,0.0003879903453565225,4.0,-1.268302663638056,-0.9908728351897408
60,Frecheirinha,154,26,0.16883116883116883,100,0.6493506493506493,27,0.17532467532467533,402.3376623376623,452.83701298701294,469.0876623376623,466.32987012987013,427.6948051948052,443.6574025974026,154,0,0.0006947734091267961,3.8,-1.5657927683835515,-1.4947092804727709
61,General Sampaio,116,1,0.008620689655172414,46,0.39655172413793105,1,0.008620689655172414,398.1034482758621,447.9387931034483,465.0060344827586,461.2293103448276,423.74310344827586,439.2041379310345,116,0,0.0005233358146669373,4.0,-1.7391319868226756,-0.9908728351897408
62,Granja,1282,232,0.1809672386895476,538,0.41965678627145087,257,0.20046801872074882,523.634945397816,476.5606084243369,493.55101404056165,490.6322932917316,446.4075663026521,486.15728549141966,767,8,0.0057837630551983935,4.625,0.08847596175489973,0.5836160563197262
