,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Total_Alunos,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB23,z_score_nota,z_score_IDEB23
88,Boa Viagem,536.9326424870467,477.96269430051814,489.4614316239317,480.8987564766839,457.69561965811965,492.06289445048964,215,0.17366720516962844,1087,0.8780290791599353,215,0.17366720516962844,1238,552,27,0.005106818303694812,4.65,-0.1115656376147643,0.23480527807626297
89,Pedra Branca,525.2662721893491,485.10798816568047,487.7610492845787,486.64201183431953,463.514626391097,494.8754166666667,157,0.17252747252747253,840,0.9230769230769231,161,0.17692307692307693,910,481,0,0.0037538002070777697,4.45,-0.01936557165490162,-0.23296084112385643
90,Iracema,621.1392405063291,506.31835443037977,510.0318936877077,505.70537974683543,471.83920265780733,526.7449169435216,77,0.1711111111111111,400,0.8888888888888888,79,0.17555555555555555,450,171,0,0.0018562748276758202,4.8,1.0253799634142888,0.5856298674763509
91,Santana do Acaraú,582.9144385026738,483.7364973262032,492.2791268758526,482.4938502673797,461.67980900409276,502.837217630854,151,0.16759156492785793,772,0.8568257491675916,155,0.17203107658157601,901,227,17,0.0037166747105242533,4.2,0.24163808187540575,-0.8176684901240052
92,Jaguaruana,618.0437284234753,503.209666283084,514.3407628128725,501.60333716915994,484.4952324195471,526.5750780312125,184,0.16531895777178796,935,0.8400718778077269,186,0.16711590296495957,1113,325,14,0.004591186407118196,4.733333333333333,1.0198123064452567,0.4297078277429785
93,Barreira,552.8205128205128,487.1461538461538,490.50882352941176,490.0430769230769,458.6665775401069,498.18900804289547,95,0.1643598615916955,489,0.8460207612456747,98,0.1695501730103806,578,242,5,0.0023842818897702755,3.9,0.0892605368590415,-1.5193176689241843
94,Viçosa do Ceará,570.1434159061278,491.5678617992177,499.4943008614977,491.5567144719687,465.38528827037777,505.6448048452221,320,0.16351558507920286,1416,0.7235564639754727,325,0.1660705160960654,1957,784,7,0.00807273297280351,4.800000000000001,0.3336763686714694,0.585629867476353
95,Deputado Irapuan Pinheiro,467.8125,469.5171875,462.2903225806452,458.421875,450.4596774193548,462.3783870967742,13,0.1625,79,0.9875,13,0.1625,80,80,0,0.0003300044138090347,4.2,-1.084682763679199,-0.8176684901240052
96,Icó,560.5899705014749,486.4778761061947,488.30899390243906,488.28864306784664,466.9016006097561,500.26703363914373,280,0.16101207590569291,1439,0.8274870615296147,282,0.16216216216216217,1739,644,1,0.007173470945173892,4.574999999999999,0.1573823443734365,0.05939298337621586
97,Uruburetama,580.4081632653061,489.30888355342137,491.0781862745098,494.81152460984396,466.1719362745098,506.9398004987531,160,0.1596806387225549,620,0.6187624750499002,243,0.24251497005988024,1002,367,0,0.00413330528295816,4.8,0.3761288989969311,0.5856298674763509
98,Groaíras,505.64102564102564,467.49871794871797,491.93243243243245,478.75512820512824,456.8662162162162,486.152972972973,15,0.15625,91,0.9479166666666666,17,0.17708333333333334,96,96,0,0.0003960052965708416,4.8,-0.30530460504781026,0.5856298674763509
99,Carnaubal,505.9550561797753,466.23707865168535,457.0920454545454,471.97752808988764,448.32102272727275,472.58231213872835,30,0.15228426395939088,185,0.9390862944162437,30,0.15228426395939088,197,197,0,0.000812635869004748,4.65,-0.750177828391448,0.23480527807626297
100,Aratuba,545.776397515528,462.69565217391306,457.3875,469.9531055900621,449.57948717948716,477.30711538461543,63,0.15035799522673032,367,0.8758949880668258,64,0.15274463007159905,419,160,0,0.0017283981173248193,4.15,-0.5952893910975051,-0.9346100199240345
101,Canindé,594.7154929577465,498.328338028169,514.142377869335,501.376338028169,469.25085344320183,519.1475710900473,341,0.14995602462620933,1609,0.7075637642919965,351,0.15435356200527706,2274,794,16,0.00938037546252181,5.0200000000000005,0.7763238724859317,1.1001725985964834
102,Massapê,578.6040609137056,482.98946700507616,489.25702917771883,483.43769035533,462.2208222811671,502.10162234042554,160,0.14925373134328357,847,0.7901119402985075,162,0.15111940298507462,1072,441,0,0.004422059145041065,4.366666666666666,0.2175238068282001,-0.42786339079057406
103,Tamboril,540.7806691449814,482.2674721189591,476.68983050847453,487.1566914498141,456.0939736346516,491.2812903225806,112,0.14854111405835543,634,0.8408488063660478,113,0.14986737400530503,754,328,0,0.003110291600150152,4.066666666666666,-0.13718817376157777,-1.1295125695907522
104,Palmácia,579.5215311004785,468.01866028708133,466.3430693069307,468.9526315789474,446.0688118811881,488.2023762376238,35,0.1483050847457627,193,0.8177966101694916,35,0.1483050847457627,236,236,0,0.0009735130207366524,4.55,-0.2381210944279356,0.0009222184762022305
105,Meruoca,461.5686274509804,459.8166666666667,448.9414141414141,456.23235294117643,433.67070707070707,454.9559595959596,21,0.14788732394366197,133,0.9366197183098591,21,0.14788732394366197,142,142,0,0.0005857578345110366,4.4,-1.3280046834923727,-0.34990237092388576
106,Acaraú,682.6198630136986,498.6480308219178,521.5647936786655,496.29674657534247,475.04310798946443,537.8180884955751,203,0.14346289752650176,1218,0.8607773851590106,205,0.14487632508833923,1415,696,18,0.005836953069247301,4.966666666666667,1.3883805262585314,0.9754349668097841
107,Granja,522.542372881356,477.68144067796607,478.3935008665511,475.80169491525425,453.4011265164645,483.1163811188811,207,0.14295580110497239,1129,0.7796961325966851,211,0.1457182320441989,1448,830,0,0.005973079889943528,4.4399999999999995,-0.4048501189036998,-0.25634914708386397
108,Alcântaras,594.7368421052631,485.1305263157895,508.3763440860215,485.0694736842105,470.43978494623656,510.92279569892474,18,0.14285714285714285,113,0.8968253968253969,18,0.14285714285714285,126,126,0,0.0005197569517492297,4.6,0.5066993947823148,0.11786374827623156
109,Novo Oriente,578.9574759945131,484.59849108367627,501.07071129707117,483.28244170096025,459.08451882845185,503.88857954545455,128,0.1419068736141907,728,0.8070953436807096,130,0.14412416851441243,902,356,0,0.003720799765696866,6.050000000000001,0.2761038142050217,3.509168112477097
110,Quixeré,578.7878787878788,478.0927272727273,467.1647798742138,477.65999999999997,451.86352201257864,494.3314465408805,34,0.14107883817427386,216,0.8962655601659751,34,0.14107883817427386,241,241,0,0.000994138296599717,4.55,-0.03719799309826134,0.0009222184762022305
111,Poranga,536.4705882352941,446.8426470588235,449.6903703703704,443.52647058823527,440.2207407407408,465.55593984962405,22,0.14102564102564102,139,0.8910256410256411,22,0.14102564102564102,156,156,0,0.0006435086069276176,4.15,-0.9805162715112106,-0.9346100199240345
112,Granjeiro,629.5454545454545,461.09090909090907,451.86279069767437,477.43409090909086,440.5581395348837,496.1728571428571,9,0.140625,46,0.71875,10,0.15625,64,64,0,0.00026400353104722774,4.6,0.023167104814530652,0.11786374827623156
113,Caridade,568.821752265861,480.7250755287009,494.5544891640867,485.16963746223564,457.7989164086687,499.64400625978095,113,0.13814180929095354,616,0.7530562347188264,115,0.14058679706601468,818,222,0,0.0033742951311973796,4.566666666666666,0.13695826909266276,0.03990272840954534
114,Barroquinha,564.931506849315,489.65205479452055,482.03361581920905,485.46767123287674,457.2641242937853,498.42073863636364,62,0.13777777777777778,387,0.86,66,0.14666666666666667,450,233,0,0.0018562748276758202,4.5,0.09685712609833463,-0.1160193113238271
115,Pentecoste,584.2937853107345,496.2781920903955,506.18416184971096,498.1587570621469,469.52508670520234,513.33475029036,152,0.13755656108597286,818,0.7402714932126697,155,0.14027149321266968,1105,406,0,0.0045581859657372915,4.766666666666667,0.585768058184662,0.5076688476096648
116,Potiretama,540.3703703703703,468.77222222222224,465.66249999999997,474.6259259259259,470.20714285714286,484.0814814814815,9,0.13636363636363635,57,0.8636363636363636,9,0.13636363636363635,66,66,0,0.0002722536413924536,4.7,-0.37321221162679624,0.3517468078762923
117,Parambu,501.5648854961832,476.9064885496183,470.08727984344426,476.0965648854962,452.5880626223092,476.938406374502,89,0.13587786259541984,569,0.8687022900763359,90,0.13740458015267176,655,385,0,0.0027019111380614715,4.466666666666666,-0.6073764049731367,-0.1939803311905154
118,Chaval,617.2789115646259,493.2200680272109,481.5986254295533,497.8081632653061,462.18487972508586,511.0247586206896,51,0.1356382978723404,327,0.8696808510638298,52,0.13829787234042554,376,124,0,0.001551020744902463,4.5,0.5100419419302483,-0.1160193113238271
119,Umari,556.0,489.60400000000004,476.32708333333335,487.454,448.68333333333334,495.66124999999994,13,0.13541666666666666,91,0.9479166666666666,13,0.13541666666666666,96,96,0,0.0003960052965708416,4.3,0.0063956062479941424,-0.5837854305239465
120,Ipaumirim,554.3478260869565,458.2880434782609,468.5511111111111,459.3239130434783,455.3877777777778,481.91377777777774,18,0.1323529411764706,127,0.9338235294117647,18,0.1323529411764706,136,136,0,0.000561007503475359,4.3,-0.4442738456694915,-0.5837854305239465
121,Trairi,540.1017811704835,479.43706530958445,486.69385813148784,484.737743850721,457.5681660899654,491.16194782608693,188,0.13146853146853146,1235,0.8636363636363636,193,0.13496503496503495,1430,551,0,0.005898828896836495,4.58,-0.1411004578975904,0.07108713635622066
122,Itarema,590.3023255813954,484.0293023255814,495.5369230769231,485.8406976744186,461.5184615384615,504.9876463560334,136,0.13089509143407121,870,0.8373435996150145,139,0.13378248315688163,1039,599,15,0.004285932324344838,4.58,0.31213340780140747,0.07108713635622066
123,Reriutaba,569.4560669456067,475.3807531380753,500.6560344827586,474.92384937238495,470.6280172413793,502.7131601731602,36,0.13043478260869565,239,0.8659420289855072,36,0.13043478260869565,276,276,0,0.0011385152276411697,5.0,0.23757123194391236,1.0533959866764704
124,Quiterianópolis,520.093896713615,480.3359154929578,472.2861985472155,487.4490610328638,447.0167070217918,485.9665508684863,68,0.1297709923664122,434,0.8282442748091603,68,0.1297709923664122,524,192,0,0.0021615289104491772,4.2,-0.31141589200269526,-0.8176684901240052
125,Irauçuba,574.3809523809524,485.6666666666667,500.8882951653944,485.0028571428572,460.75063613231555,505.73132653061225,88,0.12753623188405797,507,0.7347826086956522,90,0.13043478260869565,690,377,0,0.002846288069102924,4.2,0.33651272141351946,-0.8176684901240052
126,Penaforte,516.0493827160494,454.9913580246914,453.22625,462.06419753086413,437.0775,466.192,13,0.1262135922330097,97,0.941747572815534,13,0.1262135922330097,103,103,0,0.00042488068277913215,4.4,-0.9596649561040681,-0.34990237092388576
127,Senador Sá,465.77319587628864,446.3525773195876,440.48526315789474,440.18144329896904,421.01473684210526,446.6402150537634,16,0.125,126,0.984375,16,0.125,128,128,0,0.0005280070620944555,4.4,-1.6006113106990423,-0.34990237092388576
128,Martinópole,448.0536912751678,461.76040268456376,460.00680272108843,465.3208053691275,440.5530612244898,456.31360544217694,20,0.12269938650306748,124,0.7607361963190185,20,0.12269938650306748,163,163,0,0.0006723839931359082,4.6,-1.2834983553818282,0.11786374827623156
129,Monsenhor Tabosa,525.4246575342465,469.21999999999997,469.51623931623936,477.92904109589045,444.46153846153845,480.80693409742116,67,0.12248628884826325,432,0.7897623400365631,73,0.13345521023765997,547,264,0,0.0022564051794192745,4.5,-0.4805583805077077,-0.1160193113238271
