,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Total_Internet,Taxa_Internet,Total_Computador,Taxa_Computador,Taxa_Alunos
54,Tauá,604.1988130563798,486.4092729970326,511.62774480712164,503.92129080118696,469.68716617210686,515.1688575667656,1802,442,0.24528301886792453,1562,0.8668146503884573,462,0.2563817980022198,0.007190541365564409
55,Acarape,622.5853658536586,480.73487804878044,501.2685365853659,500.530487804878,464.85024390243905,513.9939024390244,541,102,0.18853974121996303,425,0.7855822550831792,107,0.1977818853974122,0.002158758534278771
56,Chaval,610.5714285714286,486.24685714285715,497.4194285714285,505.6325714285714,465.08799999999997,512.9916571428571,431,63,0.14617169373549885,330,0.765661252900232,64,0.14849187935034802,0.0017198242666804997
57,Pacatuba,600.4192139737992,485.48200873362447,502.3498689956332,506.1917030567686,469.47790393013094,512.7841397379913,1651,371,0.2247122955784373,1393,0.8437310720775287,374,0.22652937613567534,0.006588004325497692
58,Aracati,587.8749337572867,486.11075781664016,506.39904610492846,508.2800741918389,473.56550079491257,512.4460625331213,2608,656,0.25153374233128833,2137,0.8194018404907976,664,0.254601226993865,0.010406732453602652
59,Itaitinga,572.1477428180575,488.42188782489745,514.0679890560875,511.2154582763338,473.1949384404925,511.8096032831738,986,287,0.29107505070993916,869,0.8813387423935092,292,0.2961460446247465,0.00393444716228996
60,Santana do Acaraú,612.5255102040817,478.9700255102041,504.55778061224487,495.18686224489795,466.99183673469383,511.64640306122453,956,188,0.19665271966527198,762,0.797071129707113,193,0.20188284518828453,0.0038147378165813406
61,Itarema,620.4035308953341,474.76191677175285,502.29129886506934,494.48865069356873,465.887263556116,511.5665321563682,1018,176,0.17288801571709234,798,0.7838899803536346,180,0.17681728880157171,0.00406213713104582
62,Quixeramobim,585.7337883959044,486.04546075085324,512.0738566552901,504.5873037542662,468.2127645051194,511.3306348122867,1939,469,0.24187725631768953,1434,0.739556472408458,481,0.2480660134089737,0.007737214044300438
63,Beberibe,593.0401529636712,484.69894837476096,503.8792543021032,504.7543021032505,468.225621414914,510.91965583173993,1286,218,0.16951788491446346,1020,0.7931570762052877,226,0.17573872472783825,0.005131540619376155
64,Paracuru,587.6818181818181,485.0475,502.91988636363635,504.90875,470.14125,510.1398409090909,1149,293,0.2550043516100957,1002,0.8720626631853786,296,0.257615317667537,0.004584867940640126
65,Viçosa do Ceará,599.752358490566,482.2897405660377,502.4737617924528,499.4968160377358,466.20212264150945,510.0429599056604,2140,317,0.14813084112149533,1424,0.6654205607476635,332,0.15514018691588785,0.00853926666054819
66,Jardim,593.9475908706678,484.5376162299239,504.5179205409974,500.6902789518174,465.469146238377,509.8325105663567,1447,343,0.23704215618521077,1204,0.8320663441603318,351,0.2425708362128542,0.005773980774679079
67,Barroquinha,602.5507246376811,483.37594202898555,499.4084057971014,501.08318840579716,461.9040579710145,509.6644637681159,476,69,0.14495798319327732,374,0.7857142857142857,74,0.15546218487394958,0.001899388285243429
68,Horizonte,583.0618892508144,486.12306188925083,504.053680781759,506.22762214983715,468.6119218241043,509.6156351791531,2148,459,0.21368715083798884,1502,0.6992551210428305,465,0.2164804469273743,0.008571189152737154
69,Ipueiras,611.7391304347826,478.71678743961354,495.7359903381643,498.7475845410628,462.77222222222224,509.54234299516907,1040,193,0.18557692307692308,906,0.8711538461538462,197,0.18942307692307692,0.004149923984565475
70,Mombaça,587.3324905183313,486.00353982300885,508.5634639696587,498.81061946902656,466.1409608091024,509.3702149178256,1075,172,0.16,803,0.7469767441860465,180,0.16744186046511628,0.004289584887892198
71,Marco,603.8704453441295,470.9246153846154,513.6306072874494,491.18947368421055,466.8784615384616,509.29872064777334,1488,309,0.20766129032258066,1172,0.7876344086021505,313,0.2103494623655914,0.005937583547147526
